"
        ",2771
"Goodman, George.",3
Goodrich (Mich.),3
"Goodrich, Francis Lee Dewey, 1877-1962.",3
Governors--Philippines.,3
"Grace Episcopal Church (Holland, Mich.)",3
Grand Army of the Republic.,3
"Grand Island (Alger County, Mich.)",3
Grand Marais (Mich.),3
Grand Rapids (Mich.)--Buildings.,3
Grand Rapids (Mich.)--Church history.,3
Grand Rapids (Mich.)--Dwellings.,3
Grand Rapids (Mich.)--Streets.,3
Grand Rapids Kindergarten Training School.,3
Grand Rapids University Consortium Center.,3
Grand Rapids herald (1892),3
Grand Rapids press.,3
Grand Trunk Western Railroad Company.,3
Great Lakes (North America)--Environmental conditions.,3
Great Lakes Steel Corporation.,3
Green family.,3
"Green, Camilla B., 1870-1955.",3
"Green, Ethel.",3
"Gressman, Eugene, 1917-",3
"Grew, Joseph C. (Joseph Clark), 1880-1965.",3
Grosse Pointe Farms (Mich.),3
"Grosvenor, Gilbert Hovey, 1875-1966.",3
Group portraits.,3
Gull Lake (Mich.),3
Gunnar Birkerts & Associates.,3
Gymnastics--Michigan--Ann Arbor.,3
"Hall, Emma Amelia, 1837-1884.",3
Handicapped persons--Michigan.,3
Hannah and Lay Company.,3
Harper Hospital.,3
Harper Woods (Mich.),3
"Harriman, Karl Edwin, 1875-1935.",3
Hart (Mich.),3
"Harts, William.",3
"Hartwig, Marie Dorothy, 1906-",3
Harvard University.,3
"Hash Bash (Ann Arbor, Mich.)",3
"Haskins, Charles Homer, 1870-1937.",3
Hastings banner.,3
"Hatfield, Malcolm Keith, 1900-1961.",3
"Hawes, Harry B.",3
"Hayakawa, S. I. (Samuel Ichiyé), 1906-",3
"Haydon, Arthur W., 1844-1918.",3
"Hayes, Rutherford Birchard, 1822-1893.",3
"Hays, Arthur Garfield, 1881-1954.",3
Hazardous wastes--Michigan.,3
Hazing--Michigan--Ann Arbor.,3
Health resorts--Michigan--Battle Creek.,3
"Hearst, William Randolph, 1863-1951.",3
Helen Handy Newberry Residence (University of Michigan),3
Hell (Mich.),3
"Henderson, Leon, 1895-",3
Henry Ford Peace Expedition (1915-1916),3
"Herter, Christian Archibald, 1895-1966.",3
"Heyns, Roger William, 1918-",3
Higgins Lake (Mich.),3
"Hill, Arthur, 1847-1909.",3
"Hinsdale, Mildred, 1871-1971.",3
"Hiss, Alger.",3
Historic districts--Michigan--Ann Arbor.,3
Hockey--Michigan--Ann Arbor.,3
"Hodges, Luther Hartwell, 1898-1974.",3
"Hoffman, Paul G. (Paul Gray), 1891-1974.",3
"Holbrook, Robert S.",3
Holidays.,3
"Holland, Jeep, 1943-1998.",3
"Hollenshead, Carol.",3
"Holmes, Robert Bradford.",3
Holography.,3
"Holt, Hamilton, 1872-1951.",3
Homeopathy--Michigan.,3
"Hoobler, Icie Gertrude Macy, 1892-",3
"Hopkins, Louis Allen.",3
Horace H. Rackham and Mary A. Rackham Fund.,3
Horton (Mich.),3
Hospitals--Michigan--Detroit.,3
Hospitals.,3
Hotels and taverns--Michigan--Mackinac Island.,3
Hotels--Michigan--Mackinac Island.,3
House of David.,3
Housewives' League of Detroit.,3
"Hubbard, Bela, 1814-1896.",3
"Hubbell, Clarence, 1870-1950.",3
"Hubbell, Winifred.",3
"Hubbs, Carl L. (Carl Leavitt), 1894-1979.",3
"Hudson, Grant Martin, 1868-1955.",3
"Hudson, Joseph L. (Joseph Lowthian), 1931-",3
"Huebsch, B. W. (Benjamin W.), 1876-1964.",3
"Hughes, Langston, 1902-1967.",3
Humanistic Judaism.,3
"Humphrey, George M. (George Magoffin), b. 1890.",3
Hungary.,3
"Hunsaker, Walter Jerome, 1857-1939.",3
"Hunter, Woodrow Wilson, 1913-",3
"Hurja, Emil, 1892-",3
Huron City (Mich.),3
"Huron River Watershed (Oakland County-Monroe County, Mich.)",3
"Hutchins, Robert Maynard, 1899-",3
Illinois Central Railroad Company.,3
"Immigrants--Michigan--Societies, etc.",3
Indian River (Mich.),3
Indians of North America--Missions--Michigan.,3
Industrial Workers of the World.,3
Industrial relations--United States.,3
Inn at Bay Harbor.,3
Insurance--United States.,3
"International Brotherhood of Teamsters, Chauffeurs, Warehousemen, and Helpers of America.",3
International Business Machines Corporation.,3
Ionia County Free Fair (Mich.),3
Iosco County (Mich.)--Maps.,3
Iowa.,3
Iraqis--Michigan--Detroit.,3
Ireland.,3
Irish Americans--Michigan.,3
Iron River (Mich.),3
Iron industry.,3
Ironton (Mich.),3
Isabella County (Mich.),3
Islam--United States.,3
"Jackson, Lansing and Saginaw Railroad Company.",3
"Jackson, Robert Houghwout, 1892-1954.",3
"Jacobs, Albert Charles, 1900-1976.",3
"James, William Francis, 1873-1945.",3
"James, William, 1842-1910.",3
Japanese Americans--Michigan.,3
"Jayne, Ira Waite, 1882-",3
"Jenkins, Guy H.",3
"Jenks, Jeremiah Whipple, 1856-1929.",3
"Jenney, William Le Baron, 1832-1907.",3
"Jensen, Jens, 1860-1951.",3
"Jerome, David Howell, 1829-1896.",3
Jewish-Arab relations.,3
Jews--Michigan--Ann Arbor.,3
Johns Hopkins University.,3
"Johnson, Elias Finley, 1861-1933.",3
"Johnson, Hiram, 1866-1945.",3
"Johnson, Lemuel A.",3
"Johnson, Thor.",3
"Johnston, Eric A. (Eric Allen), 1895-1963.",3
"Jones, Edgar De Witt, 1876-1956.",3
"Jones, Jesse H. (Jesse Holman), 1874-1956.",3
Journalists--Michigan--Kalamazoo.,3
Journalists--Michigan--Royal Oak.,3
Journals.,3
Judges--Michigan--Detroit.,3
"Juster, F. Thomas (Francis Thomas), 1926-",3
K-Mart Corporation.,3
"Kamisar, Yale.",3
"Karoub, James, 1929-1994.",3
"Katona, George, 1901-",3
"Kauper, Paul G.",3
"Kearsley, Jonathan, 1786-1859.",3
"Kefauver, Nancy Patterson.",3
Kelsey Museum of Archaeology.,3
"Kelsey, Easton T.",3
"Kendall, David Walbridge, 1903-1976.",3
"Kennedy, Richard L.",3
Kentucky.,3
"Ketcham, John Clark, 1873-1941.",3
"Kiefer, Hermann, 1825-1911.",3
"Kingsley, James, 1797-1878.",3
"Kluckhohn, Clyde, 1905-1960.",3
Kneeland-Bigelow Company.,3
"Knight, John Shively, 1894-1981.",3
"Knopf, Alfred A., 1892-1984.",3
"Knowland, William Fife, 1908-",3
"Knowlton, Jerome C. (Jerome Cyril), 1850-1916.",3
"Knox, Victor Alfred, 1899-",3
"Koelz, Walter, 1895-",3
"Kornegay, Francis A.",3
Kresge Foundation.,3
"Kunstler, William Moses, 1919-",3
Labor laws and legislation--United States.,3
Labor--Michigan--Detroit.,3
"Lacy, Arthur J. (Arthur Jay), 1876-1975.",3
"Ladd, George Trumbull, 1842-1921.",3
"Ladies Literary Club (Ypsilanti, Mich.)",3
Lakeland (Mich.),3
Land use--Michigan--Planning.,3
Landscape architectural drawings.,3
Landscape architecture drawings.,3
Landscape architecture--Michigan.,3
"Lane, Alfred C. (Alfred Church), b. 1863.",3
"Langer, William, 1886-1959.",3
Language and education.,3
Lansing (Mich.)--Capitols.,3
"Larue, George R. (George Roger), b. 1882.",3
"Laski, Harold Joseph, 1893-1950.",3
Law Library Addition (University of Michigan),3
"LeHand, Margaret.",3
League of Nations.,3
League of Women Voters of Dearborn-Dearborn Heights.,3
League of Women Voters of Michigan.,3
League to Enforce Peace.,3
Leelanau County (Mich.),3
"Lehr, John Camillus, 1878-1958.",3
"Leith, Emmett N.",3
"Leonard, Donald S. (Donald Sparling), 1903-1976.",3
"Leonard, Justin W., 1909-1975.",3
Lesbians--Religious life--Michigan--Detroit.,3
"Leslie, Eugene H. (Eugene Hendricks), b. 1892.",3
"Lewis, Howard Bishop, 1887-1954.",3
"Lewis, Robert E.",3
"Lewis, Sinclair, 1885-1951.",3
Lexington (Mich.),3
"Likert, Rensis, 1903-",3
"Lindeman, Joyce.",3
"Litchfield, Edward H. (Edward Harold), 1914-1968.",3
Literature.,3
Little Traverse Conservancy.,3
"Littlefield, Josiah L. (Josiah Loomis), 1845-1935.",3
"Littmann, David L.",3
"Lodge, Henry Cabot, 1850-1924.",3
Logging--Michigan--Manistee.,3
Logging--Michigan--Upper Peninsula.,3
"Long, Russell B.",3
"Longyear, John Wesley, 1820-1875.",3
"Loud, George Alvin, 1852-1925.",3
"Louis Sands Salt and Lumber Company (Manistee, Mich.)",3
"Lovejoy, Parrish Storrs, 1884-1942.",3
"Lovett, Robert Morss, 1870-1956.",3
"Lowell, A. Lawrence (Abbott Lawrence), 1856-1943.",3
"Lower Town (Ann Arbor, Mich.)",3
"Lubin, Isador, 1896-",3
Luce County (Mich.),3
"Luce, Henry Robinson, 1898-1967.",3
Ludington State Park (Mich.),3
Lumbering--Michigan--Alpena.,3
Lumbering--Michigan--Manistee.,3
Lumbering--Michigan--Upper Peninsula.,3
Lutheran Church in America. Michigan Synod.,3
Lyons (Mich.),3
"MacLachlan, James Angell, 1891-",3
"MacLeish, Archibald, 1892-1982.",3
"Mack School (Ann Arbor, Mich.)",3
Mackinac County (Mich.),3
Mackinac Island (Mich.)--Hotels and taverns.,3
Macon (Mich.),3
Madison Heights (Mich.),3
"Magnuson, Warren Grant, 1905-",3
"Magsaysay, Ramon, 1907-1957.",3
"Makarem, Julia.",3
Manistee County (Mich.),3
Manistee County (Mich.)--Maps.,3
Manistee and Northeastern Railroad.,3
Manton (Mich.),3
Manufactures--Michigan.,3
Maple Rapids (Mich.),3
"Mar-A-Lago (Palm Beach, Fla.)",3
"Markert, Clement L. (Clement Lawrence), 1917-",3
"Marzolf, Marion.",3
Mason County (Mich.),3
"Mason, George D., b. 1856.",3
"Masonic Temple (Ann Arbor, Mich.)",3
"Mather, Stephen Tyng, 1867-1930.",3
"May, Thomas, 1860-1927.",3
"Mayo, William James, 1861-1939.",3
"McBride, Francis Scott, 1872-1955.",3
"McCallum, George P. (George Porterfield), 1871-1952.",3
"McClusky, Howard Y. (Howard Yale), 1900-1982.",3
"McCoskry, Samuel Allen, 1804-1886.",3
"McCracken, Paul Winston, 1915-",3
McDonald family.,3
"McDonald, James Henry, 1853-1934.",3
"McGregor, Tracy William, 1869-1936.",3
"McGuigan, Dorothy Gies.",3
"McIntire, Carl, 1906-",3
"McKellar, Kenneth Douglas, 1869-1957.",3
"McLeod, Clarence John, 1895-1959.",3
McMath-Hulbert Observatory (University of Michigan),3
"Mead, Edwin Doak, 1849-1937.",3
Mears (Mich.),3
Medical care.,3
Medicine--Study and teaching.,3
"Menefee, Ferdinand Northrup, 1886-",3
Mental Health Association in Michigan.,3
Mental health--Facilities--Michigan.,3
Mental institutions--Michigan.,3
"Metcalf, Robert Clarence, 1923-",3
"Metropolitan Organizing Strategy Enabling Strength (Detroit, Mich.)",3
Mexican Americans--Health and hygiene.,3
"Meyer, Suzanne M.",3
Michigan Archaeological Society.,3
Michigan Authors' Association.,3
Michigan Center for Charter Schools.,3
"Michigan Central Railroad Depot (Ann Arbor, Mich.)",3
Michigan Garden Clubs.,3
Michigan Historical Records Survey.,3
Michigan Library Association.,3
Michigan Merit System Association.,3
Michigan Military Academy.,3
Michigan Nature Association.,3
Michigan Pioneer and Historical Society.,3
Michigan Schoolmasters' Club.,3
Michigan Sea Grant Program.,3
Michigan State Fair.,3
Michigan State Medical Society.,3
Michigan United Conservation Clubs.,3
Michigan Welfare League.,3
Michigan Wolverine Student Cooperative (University of Michigan),3
Michigan Womyn's Music Festival.,3
Michigan--Boundaries--Ohio.,3
Michigan--Capital and capitol.,3
Michigan--Naval militia.,3
Michigan--Politics and government--1815-1844.,3
Michigan--Social life and customs--1821-1830.,3
Michigan--Social life and customs--1941-1950.,3
Michigan. Dept. of Natural Resources.,3
Michigan. Dept. of Public Instruction.,3
Michigan. Dept. of Transportation.,3
Michigan. Governor (1983- : Blanchard),3
Michigan. Governor (1983-1991 : Blanchard),3
Michigan. Mackinac Straits Bridge Authority.,3
Michigan. Office of the Auditor General.,3
"Michigan. State Board of Registration for Architects, Professional Engineers, and Land Surveyors.",3
Michigan. State Troops (1862-1893),3
Michigan. Wilderness and Natural Areas Advisory Board.,3
Michiganensian.,3
Middle East--Politics and government--20th century.,3
"Mies van der Rohe, Ludwig 1886-1969.",3
Migrant Health Promotion (Organization),3
Migrant agricultural laborers.,3
Migrant labor.,3
"Migration, Internal.",3
Milan (Mich.),3
"Miles-Sinclair House (Ann Arbor, Mich.)",3
Military training.,3
Military uniforms.,3
Miller family.,3
"Miller, Edwin Lillie, 1868-1934.",3
"Miller, Floyd Josiah, 1886-1954.",3
Mills--Michigan.,3
Mimes (University of Michigan),3
Minorities--Education (Higher)--Michigan--Ann Arbor.,3
Minorities--Education--Michigan.,3
Minorities--Michigan.,3
Missions--India.,3
Missions--Japan.,3
Missouri.,3
Mobile homes.,3
"Mohler, Orren, 1908-",3
"Moncrieff, Frederick E.",3
Montague (Mich.),3
"Montgomery, Patricia Clancy, 1934-",3
"Mooney, Edward, Abp., 1882-",3
"Morgan, James.",3
"Morgan, Lewis Henry, 1818-1881.",3
Mothers Against Drunk Driving (Organization). Michigan Chapter.,3
"Mott, John Raleigh, 1865-1955.",3
Mottville (Mich.),3
"Muehlig House (Ann Arbor, Mich.)",3
"Mullins, Raymond G., 1943-",3
Multicultural education--Michigan.,3
Multicultural education.,3
"Muncy, Ralph W. (Ralph Waldo), 1902-",3
"Mundt, Karl Earl, 1900-",3
Municipal government--Michigan--Grand Rapids.,3
"Munn, Earle Harold, 1903-",3
"Murphy, Marguerite.",3
"Murray, Philip, 1886-1952.",3
"Muschenheim, William.",3
Music--Instruction and study.,3
Music--Michigan.,3
Music.,3
Musicians--Michigan--Detroit.,3
Musicians--Michigan.,3
Musket (University of Michigan),3
Muslims--Religious life--Michigan.,3
Muslims--United States.,3
"Mussolini, Benito, 1883-1945.",3
"Muste, Abraham John, 1885-1967.",3
Nashville (Mich.),3
National Bank of Detroit.,3
National Collegiate Athletic Association.,3
National Conference of Commissioners on Uniform State Laws.,3
National Council of the Churches of Christ in the United States of America.,3
National Federation of Business and Professional Women's Clubs.,3
National Temperance and Prohibition Council.,3
"Nearing, Scott, 1883-",3
Netzorg family.,3
"Netzorg, Morton J.",3
"Neuberger, Maurine Brown, 1907-",3
"New Detroit, Inc. (Detroit, Mich.)",3
New York (N.Y.),3
"New York (State)--Buildings, structures, etc.",3
New York Central Railroad Company.,3
"Newcomb, Theodore Mead, 1903-1984.",3
"Niemöller, Martin, 1892-",3
"Nimitz, Chester W. (Chester William), 1885-1966.",3
"Nordby, Virginia.",3
"Norman, Arthur Geoffrey, 1905-",3
"Norris, George W. (George William), 1861-1944.",3
Northfield (Mich. : Township),3
Northport (Mich.),3
"Norvell, John, 1789-1850.",3
Nursing--Michigan--Washtenaw County.,3
"O'Brien, Thomas James, 1842-1933.",3
Obstetrics.,3
Occultism.,3
"Odjard, Otto Arthur.",3
Offices--Michigan--Ann Arbor.,3
Ohio Council on Alcohol Problems.,3
Ohio--Boundaries--Michigan.,3
Oklahoma.,3
Old Mill Creek State Park (Mich.),3
Older Women's League (U.S.). Michigan Chapter.,3
Olivet (Mich.),3
"Olson, Willard Clifford, 1899-",3
Omena (Mich.),3
One United Michigan (Organization),3
Onekama (Mich.),3
Ontonagon (Mich.),3
Opera.,3
Ophthalmology--Michigan.,3
Orchards.,3
Organizational charts.,3
Osceola County (Mich.),3
Oscoda County (Mich.),3
Oscoda County (Mich.)--Maps.,3
Otsego County (Mich.),3
Otsego County (Mich.)--Maps.,3
Oxford (Mich.),3
"Page, Walter Hines, 1855-1918.",3
Pageants.,3
Pakistan.,3
"Palmer, Fred E.",3
Parades.,3
Paralyzed Veterans of America. Michigan Chapter.,3
Parker family.,3
"Parkhurst, John G. (John Gibson), 1824-1906.",3
Parochiaid.,3
"Paton, William Andrew, 1889-",3
"Patton, George S. (George Smith), 1885-1945.",3
"Pauli, Wolfgang, 1900-1958.",3
Peace movements--Michigan--Ann Arbor.,3
Peach Mountain Radio Astronomy Observatory (Mich.),3
"Peale, Norman Vincent, 1898-",3
"Peary, Robert E. (Robert Edwin), 1856-1920.",3
"Pegler, Westbrook, 1894-1969.",3
Pennsylvania Railroad.,3
Pentecostalism--Catholic Church.,3
Peoples Campaign for Choice.,3
"Perkins, Frances, 1882-1965.",3
"Perry, Maude Elaine Caldwell, 1873-1963.",3
"Peterson, Enoch Ernest, 1891-",3
"Peterson, Esther, 1906-",3
Pharmacy--Michigan--Ann Arbor.,3
Phi Kappa Phi. University of Michigan chapter.,3
Philippines--Description and travel.,3
"Philippines--History--Philippine American War, 1899-1902.",3
Philippines.,3
Photographers--Michigan.,3
Physical education and training--Michigan.,3
Pianos.,3
Pickets.,3
Pigeon River Country State Forest (Mich.),3
"Pike, James A. (James Albert), 1913-1969.",3
Pinckney (Mich.),3
Pittsfield Charter Township (Mich.),3
"Pittsfield Village (Ann Arbor, Mich.)",3
"Plamondon, Pun.",3
Plank roads--Michigan.,3
"Plant, Marcus L., 1911-",3
Plants--Collection and preservation.,3
Poland.,3
Police--Michigan--Ann Arbor.,3
Poliomyelitis vaccine.,3
Political conventions.,3
Political elections--1936.,3
Political elections--1956.,3
Political elections--1964.,3
Political elections--1976.,3
Politics and government--1929-1938.,3
Politics and government--Michigan.,3
Polkas.,3
Port Austin (Mich.),3
Port Hope (Mich.),3
Portage Lake Observatory (University of Michigan),3
Portrait photographs.,3
Post family.,3
"Post, Marjorie Merriweather.",3
Postal service.,3
"Postum Company, Inc.",3
"Power, Sarah Goddard, 1935-1987.",3
Presbyterian Church.,3
"Prescott, A. B. (Albert Benjamin), 1832-1905.",3
Presidential press secretaries--United States.,3
Presidents--United States--Election--1916.,3
Presidents--United States--Election--1924.,3
Presque Isle County (Mich.)--Maps.,3
Printing industry.,3
Prison facilities--Michigan--Jackson.,3
Prisoners of war--Russia (Federation),3
Private libraries.,3
Prohibition Party (U.S.),3
Prudenville (Mich.),3
Public administration.,3
Public health--Michigan--Washtenaw County.,3
Public lands--Michigan.,3
Public speaking.,3
Public welfare--Michigan--Washtenaw County.,3
Publicity.,3
"Putnam, George Haven, 1844-1930.",3
"Quaife, Milo Milton, 1880-1959.",3
Quarrying.,3
Quarterdeck Society (University of Michigan),3
"Quimby, Thomas H. E. (Thomas Howard Emerson), 1918-",3
"Raab, Irving T. (Irving Tomlinson), 1875-1969.",3
Race relations.,3
Radar.,3
Radicalism--United States.,3
Radio programs.,3
Ragtime music.,3
Railroad bridges.,3
Railroad construction and maintenance.,3
Railroad employees.,3
Railroad locomotives.,3
Railroad stations--Michigan--Ann Arbor.,3
Rainbow Multi-Media Corporation.,3
Randall family.,3
"Randall, Harrison M. (Harrison McAllister), b. 1870.",3
"Ransom, Epaphroditus, 1797-1859.",3
"Ranville, Michael, 1943-",3
"Rauschenbusch, Walter, 1861-1918.",3
Reading.,3
Real property--Michigan--Ann Arbor--Maps.,3
Real property--Michigan--Maps.,3
Recombinant DNA--Research.,3
Reed City (Mich.),3
Refugees.,3
"Regional planning--Michigan, Southeastern.",3
"Registers of births, etc.--Michigan.",3
"Reid, Neil E., 1871-",3
Republican Party (U.S. : 1854- ),3
Research.,3
Residential streets--Michigan--Ann Arbor.,3
Resorts--Michigan--Mackinac Island.,3
Resorts--Michigan.,3
Restaurants--Michigan--Marshall.,3
Retail trade.,3
"Reuther, Roy L., d. 1968.",3
"Rickey, Branch, 1881-1965.",3
"Riggs, Henry Earle, 1865-1949.",3
"Riggs, Henry Earle, b. 1865.",3
"Roach, Thomas A., 1929-",3
Roads--United States.,3
"Roberts, Owen J. (Owen Josephus), 1875-1955.",3
"Roby, Douglas F. (Douglas Fergusson), 1898-1992.",3
Rockford (Mich.),3
"Rogers, James Speed, 1892-",3
"Rolfe, John Carew, 1859-1943.",3
Romulus (Mich.),3
Roscommon County (Mich.),3
Roscommon County (Mich.)--Maps.,3
"Rowe, Carrie Jackson.",3
Royal Oak (Mich. : Township),3
Running--Michigan--Ann Arbor.,3
"Rustin, Bayard, 1912-1987.",3
"Saarinen, Eliel, 1873-1950.",3
Safford family.,3
Saginaw (Mich.)--Business enterprises.,3
Saginaw River (Mich.),3
Saginaw news.,3
Saint Clair County (Mich.),3
Salem (Mich.),3
"Saline (Mich.)--Buildings, structures, etc.",3
Saline Woman's Club (Mich.),3
"Salk, Jonas, 1914-",3
Same-sex marriage--Law and legislation--Michigan.,3
"Sample, George Washington, 1868-1945.",3
"Sandburg, Carl, 1878-1967.",3
"Sanders, Henry A. (Henry Arthur), 1868-1956.",3
Sandusky (Mich.),3
"Sartre, Jean Paul, 1905-1980.",3
